state,pincode,proposed_district,proposed_city,count
ANDHRA PRADESH,515001,,,1
ANDHRA PRADESH,515005,,,1
ANDHRA PRADESH,516360,KADAPA,PRODDATUR,2
ANDHRA PRADESH,517325,CHITTOOR,11 122NEHRU BAZAAR,1
ANDHRA PRADESH,518001,KURNOOL,,1
ANDHRA PRADESH,518001,KURNOOL,4TH FLOOR S V C SHROFF,1
ANDHRA PRADESH,518501,,,1
ANDHRA PRADESH,520001,KRISHNA,BAVAJI MATHAM LANEAM,1
ANDHRA PRADESH,520001,KRISHNA,ONE,1
ANDHRA PRADESH,520001,KRISHNA,VIJAYAWADA,1
ANDHRA PRADESH,520001,NTR,VIJAYAWADA,1
ANDHRA PRADESH,520002,KRISHNA,BUCINGHAMPETA,1
ANDHRA PRADESH,520002,KRISHNA,RAJAGOPALACHARI STREETGOVERNORPET,1
ANDHRA PRADESH,520002,KRISHNA,VIJAYAWADA,1
ANDHRA PRADESH,520002,NTR,VIJAYAWADA,1
ANDHRA PRADESH,520010,KRISHNA,LABBIPET,1
ANDHRA PRADESH,521001,KRISHNA,GUDUGUPETA,1
ANDHRA PRADESH,521175,KRISHNA,B,1
ANDHRA PRADESH,522002,GUNTUR,2 BRODIPET,1
ANDHRA PRADESH,522003,GUNTUR,ETUKURU,1
ANDHRA PRADESH,522003,GUNTUR,GANTALAMMA CHETTU TEMPLE,1
ANDHRA PRADESH,522201,GUNTUR,TENALI,2
ANDHRA PRADESH,522503,GUNTUR,MANGALAGIRI,3
ANDHRA PRADESH,522601,GUNTUR,6 1 63 MAIN ROADNEAR SIVA STATUE,1
ANDHRA PRADESH,523001,PRAKASAM,DISTT 523001,1
ANDHRA PRADESH,524001,,,5
ANDHRA PRADESH,530009,VISAKHAPATNAM,SAI SHOPPING CE,1
ANDHRA PRADESH,530013,VISAKHAPATNAM,SWARNA BHARATHI STADIUM,1
ANDHRA PRADESH,530016,VISAKHAPATNAM,JYOTHI BOOK STORE,1
ANDHRA PRADESH,530016,VISAKHAPATNAM,VRC COMPLEX,1
ANDHRA PRADESH,532421,SRIKAKULAM,ETA,1
ANDHRA PRADESH,533001,EAST GODAVARI,TURANGI,1
ANDHRA PRADESH,533103,EAST GODAVARI,KVR SWAMY ROADRAJAMAHENDRAVARAM,1
ANDHRA PRADESH,533401,EAST GODAVARI,TUNI,1
ANDHRA PRADESH,534001,,,1
ANDHRA PRADESH,534001,WEST GODAVARI,3 MAINBAZARBELLAMKOTTU SANDU,1
ANDHRA PRADESH,534201,WEST GODAVARI,BHIMAVARAM,1
ANDHRA PRADESH,534211,WEST GODAVARI,SUBBAM GRAND,1
ANDHRA PRADESH,535001,VIZIANAGARAM,7 1 2,1
ANDHRA PRADESH,560010,KRISHNA,2 TOWN JAIN COMPLEX VIJAYAWADA 520010,1
ASSAM,781001,KAMRUP METROPOLITAN,GUWAHATI 01,1
ASSAM,781315,BARPETA,1ST FLOOR,1
ASSAM,781315,BARPETA,B,1
ASSAM,782001,NAGAON,02ND FLOOR,1
ASSAM,783101,GOALPARA,TILAPARA,1
ASSAM,783331,DHUBRI,GAURIPUR,1
ASSAM,783370,KOKRAJHAR,04NEAR SBI ATM,1
ASSAM,783380,BONGAIGAON,,1
ASSAM,783380,BONGAIGAON,NORTH,1
ASSAM,784001,SONITPUR,MAHAJATI PRESS,1
ASSAM,785697,SIVASAGAR,TANKPATRIOT GIRINDRA NATH GOGOI PATH,1
ASSAM,786125,TINSUKIA,145A,1
ASSAM,787001,LAKHIMPUR,NORTH,1
ASSAM,788001,CACHAR,SILCHAR,1
BIHAR,800004,PATNA,16 & 17 3RD FLOOR DUNDA SHAHI COMPLEX OLD RUPAK CINEMA HALL BAKERGANJ,1
BIHAR,800004,PATNA,B,1
BIHAR,800004,PATNA,BAKARGANG,1
BIHAR,800004,PATNA,BAKARGANJ,1
BIHAR,800004,PATNA,BAKERGANJ,2
BIHAR,800004,PATNA,BARIPATH,2
BIHAR,800004,PATNA,BARIPATHDUNDA SAHI COMPLEX,1
BIHAR,800004,PATNA,COLLECTORIATE,1
BIHAR,800004,PATNA,G 10DUNDA SHAHI COMPLEX BAKERGANJ,1
BIHAR,800004,PATNA,KADAM KUAN,1
BIHAR,800004,PATNA,KADAMKUAN,1
BIHAR,800004,PATNA,VISION RUPAK COMMERCIAL COMPLEX,1
BIHAR,802101,BUXAR,,1
BIHAR,802101,BUXAR,1ST FLOOR,1
BIHAR,802301,BHOJPUR,AARAH,1
BIHAR,802301,BHOJPUR,AHMAM TOLI,1
BIHAR,803101,,,3
BIHAR,805110,NAWADA,STATIO,1
BIHAR,811201,MUNGER,NEAR DURGA TEMPLE,1
BIHAR,812002,BHAGALPUR,SUJAGANJ,2
BIHAR,821115,ROHTAS,26 MADAR DARWZAANDAR NAGARPALIKA,1
BIHAR,821115,ROHTAS,SASARAM,1
BIHAR,821307,ROHTAS,DEHRI ON SONE,1
BIHAR,823001,GAYA,,1
BIHAR,823001,GAYA,O MADHURI DEVI SARDAR VALLABH BHAI PATEL PATH,1
BIHAR,823001,GAYA,PIN 823001,1
BIHAR,841201,CHAPRA,FRUIT GOLA SAHEBGANJ,1
BIHAR,841226,SIWAN,NEAR BARI MASJID,1
BIHAR,841301,SARAN,CHHAPRASARAN,1
BIHAR,842001,MUZAFFARPUR,AHMAN TOLI,1
BIHAR,842001,MUZAFFARPUR,PURANI BAZARNEAR GARIBASTHAN MANDIR,1
BIHAR,843302,SITAMARHI,,2
BIHAR,843302,SITAMARHI,RATAN CHOWKJANKISTHAN,1
BIHAR,844122,VAISHALI,MAHUA,1
BIHAR,845401,EAST CHAMPARAN,MOTIHARI,1
BIHAR,845438,EAST CHAMPARAN,MOTIHARI,1
BIHAR,846001,DARBHANGA,BAKERGANJ,1
BIHAR,846004,DARBHANGA,,1
BIHAR,846004,DARBHANGA,BARA,1
BIHAR,847211,DARBHANGA,BARA,1
BIHAR,847211,MADHUBANI,,1
BIHAR,851101,BEGUSARAI,IGANJ,2
BIHAR,851204,KHAGARIA,,1
BIHAR,852113,MADHEPURA,NA,1
BIHAR,852201,SAHARSA,,1
BIHAR,854105,KATIHAR,BANIYATOLAPOST & PS,1
BIHAR,854301,PURNIA,,1
BIHAR,854301,PURNIA,PURNEA,1
BIHAR,855107,KISHANGANJ,,1
CHANDIGARH,160022,,,1
CHANDIGARH,160023,,,3
CHANDIGARH,160101,,,2
CHHATTISGARH,419001,,,1
CHHATTISGARH,491001,,,1
CHHATTISGARH,491441,,,1
CHHATTISGARH,492001,,,9
CHHATTISGARH,495001,,,2
CHHATTISGARH,497001,,,1
DELHI,110003,NEW DELHI,JAGARA MANDIR GALIKOTLA MUBARAKPUR,1
DELHI,110005,CENTRAL DELHI,1ST FLOOR BEADON PURAKAROL BAGH,1
DELHI,110005,CENTRAL DELHI,BEADONPURAKAROL BAGH,1
DELHI,110005,CENTRAL DELHI,BEW,1
DELHI,110005,CENTRAL DELHI,NEW DELHI,1
DELHI,110005,NEW DELHI,1ST FLOOR BEADONPURAKAROL BAGH,1
DELHI,110005,NEW DELHI,BANK STREETKAROL BAGH,1
DELHI,110005,NEW DELHI,BEADONPURA KAROL BAGH,1
DELHI,110005,NEW DELHI,BEADONPURAKAROL BAGH,1
DELHI,110005,NEW DELHI,KAROL BAGH,3
DELHI,110005,NEW DELHI,REHGARPURAKAROL BAGH,1
DELHI,110005,NORTH WEST DELHI,ASHOK VIHAR,1
DELHI,110006,CENTRAL DELHI,JAMA MASJID,1
DELHI,110006,NEW DELHI,110 006,1
DELHI,110006,NEW DELHI,REHGARPURAKAROL BAGH,1
DELHI,110006,NORTH DELHI,,3
DELHI,110006,NORTH DELHI,4TH FLOOR,1
DELHI,110006,NORTH DELHI,CHANDNI CHAOWK,1
DELHI,110006,NORTH DELHI,F,1
DELHI,110006,NORTH DELHI,FIRST FLOOR 181,1
DELHI,110006,NORTH DELHI,KUCHA MAHAJANI,2
DELHI,110006,NORTH DELHI,KUCHAMAHAJANI,1
DELHI,110018,NEW DELHI,TILAK,1
DELHI,110018,WEST DELHI,POST OFFICE,1
DELHI,110020,SOUTH EAST DELHI,OKHLA PHASE III,1
DELHI,110024,NEW DELHI,LAJPAT,1
DELHI,110024,SOUTH EAST DELHI,I 44,1
DELHI,110025,SOUTH DELHI,LAJPAT,1
DELHI,110034,NORTH WEST DELHI,SARASWATI VIHAR,1
DELHI,110040,NORTH WEST DELHI,NARELA,1
DELHI,110041,NORTH WEST DELHI,PUNJABI BASTI,1
DELHI,110043,SOUTH WEST DELHI,GALI CHAUDHRIYAN,1
DELHI,110051,EAST DELHI,B 1,1
DELHI,110051,NEW DELHI,G P O,1
DELHI,110052,NORTH DELHI,C 91,1
DELHI,110059,WEST DELHI,FIRST FLOOR,1
DELHI,110064,SOUTH WEST DELHI,MAYAPURI INDUSTRIAL,1
DELHI,110077,CENTRAL DELHI,BEADONPURAKAROL BAGH,1
DELHI,110085,NORTH WEST DELHI,AVANTIKA ROHINI,1
